,flight_date,flight_number,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,planned_zfw,block_fuel,trip_fuel,taxi_fuel,std_date,plan_flt_time,ramp_fuel,est_zfw,actual_zfw,offblock_time,offblock_fuel,zfwcg,pax_a,pax_b,pax_c,pax_d,pax_e,infant,airborne_time,landing_time,flight_time,onblock_time,onblock_fuel,actual_burn_fuel,block_time,pf,pm,water_uplift,water_remain
2843,2022-06-09T00:00:00.000Z,THA304,VYYY,VTBS,HS-THG,,,,,,,10800.0,,149983.0,0239,10900.0,25.5,,,,,,,0305,0406,0101,0413,4900.0,5950.0,0134,44278,38903,97.0,97.0
2842,2022-06-09T00:00:00.000Z,THA303,VTBS,VYYY,HS-THG,,,,,,,,,148779.0,0045,16600.0,27.0,,,,,,,0053,0149,0056,0157,11000.0,5650.0,0112,38903,44278,97.0,97.0
2828,2022-06-08T00:00:00.000Z,THA409,VTBS,WSSS,HS-THG,,,,,,,16200.0,,175800.0,0911,16200.0,27.2,25.0,97.0,60.0,,,2.0,0922,1127,0205,1134,4700.0,11300.0,0223,28382,44342,40.0,34.0
2815,2022-06-08T00:00:00.000Z,THA403,VTBS,WSSS,HS-THG,,,,,,,16000.0,,169816.0,0113,16000.0,25.0,19.0,107.0,62.0,,,,0126,0325,0159,0332,4800.0,11100.0,0219,43934,37223,41.0,32.0
2816,2022-06-08T00:00:00.000Z,THA404,WSSS,VTBS,HS-THG,,,,,,,17100.0,,186319.0,0442,17100.0,28.0,26.0,149.0,121.0,,,3.0,0501,0654,0153,0702,5500.0,11550.0,0220,37223,43934,31.0,
2817,2022-06-08T00:00:00.000Z,THA641,RJAA,VTBS,HS-TJW,,,,,,,44400.0,158537.0,158537.0,0146,44500.0,,,,,,,,0205,0830,0625,0835,7000.0,37400.0,0649,44292,38737,290.0,281.0
2819,2022-06-08T00:00:00.000Z,THA643,RJAA,VTBS,HS-TKP,,,,,,,52800.0,206652.0,206300.0,0258,52700.0,,10.0,3.0,22.0,47.0,38.0,0.0,0324,0933,0609,0944,8000.0,45100.0,0646,45129,37119,962.0,811.0
2820,2022-06-08T00:00:00.000Z,THA620,VTBS,RPLL,HS-THK,,,,,,,25200.0,177000.0,176696.0,0139,25300.0,30.5,26.0,132.0,101.0,,,7.0,0149,0500,0311,0506,7000.0,18100.0,0327,,,58.0,46.0
2821,2022-06-08T00:00:00.000Z,THA657,RKSI,VTBS,HS-TKK,,,,,,,44200.0,209500.0,209533.0,0124,44300.0,32.0,23.0,14.0,56.0,116.0,96.0,2.0,0142,0640,0458,0649,8200.0,35900.0,0525,43951,32103,864.0,634.0
2822,2022-06-08T00:00:00.000Z,THA621,RPLL,VTBS,HS-THK,,,,,,,21100.0,174600.0,175005.0,0619,20900.0,30.1,19.0,145.0,107.0,,,0.0,0638,0918,0240,0927,5800.0,15100.0,0308,,,45.0,35.0
2823,2022-06-08T00:00:00.000Z,THA478,YSSY,VTSP,HS-TKU,,,,,,,76200.0,221500.0,218497.0,0012,76100.0,,23.0,18.0,59.0,123.0,104.0,3.0,0032,0907,0835,0913,8200.0,67900.0,0901,44158,37219,979.0,466.0
2824,2022-06-08T00:00:00.000Z,THA478,VTSP,VTBS,HS-TKU,,,,,,,16440.0,207662.0,207662.0,1016,16400.0,24.0,,,,,,,1028,1132,0104,1139,7800.0,8500.0,0123,43503,40187,,
2825,2022-06-08T00:00:00.000Z,THA623,RJBB,VTBS,HS-TTA,,,,,,,45800.0,210300.0,210475.0,0235,45700.0,,1.0,7.0,36.0,22.0,10.0,,0251,0818,0527,0825,7700.0,37800.0,0550,40790,36056,325.0,166.0
2826,2022-06-08T00:00:00.000Z,THA466,YMML,VTBS,HS-THL,,,,,,,57400.0,183700.0,181608.0,0000,57200.0,31.4,32.0,152.0,121.0,,,4.0,0017,0906,0849,0913,5500.0,51550.0,0913,37211,40785,65.0,36.0
2827,2022-06-08T00:00:00.000Z,THA916,VTBS,EGLL,HS-TKZ,,,,,,,102600.0,194000.0,193600.0,0557,102600.0,28.0,15.0,9.0,32.0,69.0,53.0,3.0,0610,1814,1204,1831,12000.0,90700.0,1234,,,661.0,298.0
2818,2022-06-08T00:00:00.000Z,THA664,VTBS,ZSPD,HS-THH,,,,,,,48600.0,159180.0,159180.0,0324,48600.0,25.4,0.0,0.0,0.0,,,0.0,0335,0728,0353,0745,26600.0,21950.0,0421,32112,44310,41.0,41.0
