"id;""pers"";""duty"";""date"";""place"";""type"";""acRegistration"""
"19;""TG39862"";""Test Pilot"";""2020-03-12"";""BUT"";""Flight Test"";""HS-TBA"""
"24;""TG39862"";""Test Engineer"";""2020-03-11"";""DMK"";""Ground Test"";""HS-TBD"""
"38;""TG30938"";""Pilot Not Flying"";""2020-04-02"";""BKK-DMK"";""Ferry Flight"";""HS-THD"""
"59;""TG39862"";""Test Engineer"";""2020-06-30"";""DMK"";""Flight Test"";""HS-THD"""
"60;""TG39862"";""Test Engineer"";""2020-07-03"";""DMK"";""Flight Test"";""HS-THD"""
"61;""TG38887"";""Pilot Flying"";""2018-04-12"";""DMK"";""Ferry Flight"";""HS-TBG"""
"62;""TG38887"";""Pilot Flying"";""2018-04-12"";""DMK"";""Ferry Flight"";""HS-TBG"""
"63;""TG36733"";""Pilot Flying"";""2018-05-03"";""BKK"";""Ferry Flight"";""HS-TEU"""
"64;""TG36733"";""Pilot Flying"";""2018-05-03"";""BKK"";""Ferry Flight"";""HS-TEU"""
"65;""TG36143"";""Pilot Flying"";""2018-05-04"";""BKK"";""Ferry Flight"";""HS-TEU"""
"66;""TG36143"";""Pilot Flying"";""2018-05-04"";""BKK"";""Ferry Flight"";""HS-TEU"""
"67;""TG37252"";""Pilot Not Flying"";""2018-05-04"";""BKK"";""Ferry Flight"";""HS-TEU"""
"68;""TG37252"";""Pilot Not Flying"";""2018-05-04"";""BKK"";""Ferry Flight"";""HS-TEU"""
"69;""TG30938"";""Test Pilot"";""2018-05-08"";""DMK"";""Ground Test"";""HS-TBC"""
"70;""TG39833"";""Test Engineer"";""2018-05-08"";""DMK"";""Ground Test"";""HS-TBC"""
"71;""TG42660"";""Test Engineer"";""2018-05-08"";""DMK"";""Ground Test"";""HS-TBC"""
"72;""TG30938"";""Test Pilot"";""2018-05-09"";""DMK"";""Flight Test"";""HS-TBC"""
"73;""TG36733"";""Test Pilot"";""2018-05-09"";""DMK"";""Flight Test"";""HS-TBC"""
"74;""TG37252"";""Test Pilot"";""2018-05-09"";""DMK"";""Flight Test"";""HS-TBC"""
"75;""TG35309"";""Test Pilot"";""2018-06-13"";""DMK"";""Ground Test"";""HS-TEU"""
"76;""TG42660"";""Test Engineer"";""2018-06-13"";""DMK"";""Ground Test"";""HS-TEU"""
"77;""TG36733"";""Pilot Not Flying"";""2018-06-14"";""DMK"";""Ferry Flight"";""HS-TEU"""
"78;""TG36733"";""Pilot Not Flying"";""2018-06-14"";""DMK"";""Ferry Flight"";""HS-TEU"""
"79;""TG42652"";""Pilot Flying"";""2018-06-14"";""DMK"";""Ferry Flight"";""HS-TEU"""
"80;""TG42652"";""Pilot Flying"";""2018-06-14"";""DMK"";""Ferry Flight"";""HS-TEU"""
"81;""TG38887"";""Pilot Not Flying"";""2018-08-23"";""BKK"";""Ferry Flight"";""HS-TBD"""
"82;""TG38887"";""Pilot Not Flying"";""2018-08-23"";""BKK"";""Ferry Flight"";""HS-TBD"""
"83;""TG42263"";""Pilot Flying"";""2018-08-23"";""BKK"";""Ferry Flight"";""HS-TBD"""
