date,date,aircraft_type,Total QAR,Total Flight exc HKG,RETO,Take off flaps,Pack Off,Accel Height,CCO,CDO,Decel Appch,Landing Flaps,Idle Rev,RETI,APU start
2021,1,A359,88,84,15,87,83.0,2531.7727272727275,1.4967163068857976,7.001233031602744,87,83.0,87.0,29,0.0
2021,1,B77E,45,45,0,43,4.0,2633.3555555555554,1.3593333333333333,8.210545454545455,43,26.0,37.0,8,34.0
2021,1,B77W,97,91,3,48,3.0,2885.8350515463917,2.577221649484536,8.604453125000001,94,38.0,77.0,23,78.0
2021,2,A359,162,147,36,157,156.0,2309.456790123457,1.7203959199438017,6.828477104001838,156,159.0,161.0,62,0.0
2021,2,B77E,42,42,1,40,1.0,2804.785714285714,1.0374285714285714,7.370797619047618,42,23.0,40.0,20,31.0
2021,2,B77W,137,124,4,87,10.0,2675.676470588235,2.2486875,8.28075,137,59.0,105.0,56,109.0
2021,3,A359,188,170,33,182,181.0,2436.5106382978724,2.146821483587234,6.884619869440545,175,179.0,187.0,74,0.0
2021,3,B77E,31,31,0,31,1.0,2977.3225806451615,1.2730322580645161,7.5384166666666665,30,24.0,27.0,12,27.0
2021,3,B77W,230,215,1,142,27.0,2819.795652173913,2.253019736842105,8.202619565217391,226,124.0,193.0,93,183.0
2021,4,A359,112,95,17,111,110.0,2272.25,2.194092265700747,6.530810390169092,110,109.0,108.0,33,0.0
2021,4,B77E,41,41,0,41,6.0,2961.268292682927,1.434012195121951,7.4668375,41,25.0,37.0,18,33.0
2021,4,B77W,200,183,1,132,5.0,2813.375,2.696673469387755,7.849164974619289,199,123.0,175.0,78,163.0
2021,5,A359,114,97,15,114,113.0,2369.5789473684213,1.6798440385912963,6.330570516158277,112,113.0,113.0,54,0.0
2021,5,B77E,12,12,0,12,2.0,2449.8333333333335,1.657125,6.165708333333334,12,7.0,11.0,7,9.0
2021,5,B77W,193,178,8,143,6.0,2658.2901554404143,1.6955703125,8.223397905759162,189,123.0,158.0,95,154.0
2021,5,B788,2,2,0,2,0.0,2050.5,,4.372249999999999,2,2.0,0.0,1,2.0
2021,6,A359,145,123,26,143,143.0,2380.7172413793105,1.8153848273812638,6.559396451227145,143,142.0,143.0,62,0.0
2021,6,B77E,28,28,1,28,6.0,2444.1428571428573,1.1283571428571428,8.252357142857143,28,25.0,27.0,23,19.0
2021,6,B77W,187,179,15,148,19.0,2612.909090909091,1.7392771739130435,7.4645136612021865,187,135.0,156.0,111,158.0
2021,6,B788,5,5,0,4,0.0,2612.2,2.845166666666666,10.284333333333334,5,4.0,4.0,2,4.0
2021,7,A359,227,201,36,222,222.0,2336.4713656387667,1.4870218902043937,6.553502480976354,216,222.0,225.0,68,1.0
2021,7,B77E,23,23,0,23,6.0,2623.3478260869565,0.8922608695652173,7.347431818181818,23,19.0,20.0,18,16.0
2021,7,B77W,255,250,22,183,39.0,2706.6666666666665,1.6827490196078432,7.653844621513945,254,186.0,202.0,153,201.0
2021,7,B788,33,33,0,32,0.0,2638.6969696969695,1.2445,9.504,32,24.0,24.0,3,33.0
2021,8,A359,208,182,32,205,208.0,2398.673076923077,1.5858575894981861,6.431396191543537,201,200.0,207.0,64,0.0
2021,8,B77E,19,19,0,19,10.0,2591.7368421052633,2.5708157894736843,6.531447368421053,19,18.0,17.0,15,14.0
2021,8,B77W,216,214,28,154,60.0,2601.814814814815,1.9269930555555557,7.570841860465117,215,144.0,177.0,145,179.0
2021,8,B788,41,41,0,39,0.0,2726.7804878048782,1.1200641025641025,8.974589743589744,39,32.0,32.0,6,38.0
2021,9,A359,202,182,31,201,202.0,2412.6534653465346,1.7849328288149826,6.4212509310754395,191,199.0,200.0,63,0.0
2021,9,B77E,31,31,0,30,7.0,2623.548387096774,2.0680483870967743,6.810483870967742,31,24.0,31.0,26,27.0
2021,9,B77W,315,306,50,234,106.0,2598.496815286624,2.2585750798722044,7.653038338658146,313,219.0,260.0,221,271.0
2021,9,B788,16,16,0,16,0.0,2814.6875,0.7258125,9.23015625,15,12.0,12.0,0,16.0
2021,10,A359,278,252,51,273,278.0,2437.884892086331,2.293851708154851,6.649231302980532,262,267.0,275.0,88,0.0
2021,10,B77E,35,35,2,33,14.0,2714.2285714285713,1.6907571428571428,7.481014285714286,35,28.0,32.0,22,29.0
2021,10,B77W,398,394,99,316,159.0,2662.741206030151,2.407717336683417,8.025219143576827,393,276.0,309.0,234,347.0
2021,10,B788,13,13,0,13,0.0,2648.0,1.5911923076923076,7.70276923076923,11,8.0,10.0,2,13.0
2021,11,A359,435,400,123,429,433.0,2420.597701149425,2.2353815828036985,7.297943190855592,426,424.0,434.0,122,0.0
2021,11,B77E,27,27,8,27,7.0,2620.5925925925926,2.8091851851851852,9.037961538461538,27,22.0,25.0,20,21.0
2021,11,B77W,468,467,88,343,144.0,2718.2119914346895,2.1850907127429804,8.238795064377681,460,301.0,376.0,226,422.0
2021,11,B788,63,63,0,62,1.0,2666.2698412698414,1.1192046860242908,8.574851830612753,53,41.0,39.0,5,62.0
2021,12,A359,430,407,175,407,429.0,2509.125581395349,2.0541206185009306,7.5369774621735806,412,405.0,426.0,107,0.0
2021,12,B77E,62,62,19,61,15.0,2468.9166666666665,2.3118382352941174,5.723468749999999,62,54.0,44.0,32,56.0
2021,12,B77W,625,614,157,443,199.0,2599.8573717948716,2.376070739549839,8.232283870967741,607,340.0,494.0,261,585.0
2021,12,B788,67,67,0,63,0.0,2662.626865671642,1.1909328358208953,8.76430303030303,58,57.0,49.0,3,65.0
2022,1,A359,352,327,65,340,347.0,2414.9204545454545,1.7477438154187934,6.788822526919338,336,335.0,350.0,177,0.0
2022,1,B77E,40,40,11,39,13.0,2710.0434782608695,1.2871304347826085,5.2113375,40,34.0,36.0,30,33.0
2022,1,B77W,588,586,107,422,178.0,2664.5833333333335,2.0435544217687074,7.849018998272885,568,304.0,452.0,316,555.0
2022,1,B788,69,69,2,66,2.0,2697.057971014493,1.5097041744696083,8.848382574434593,57,47.0,48.0,5,67.0
2022,2,A359,317,297,62,313,310.0,2363.0410094637223,2.4867482128875937,6.90876689211222,308,299.0,311.0,134,0.0
2022,2,B77E,63,63,8,59,13.0,2513.431818181818,1.7673636363636362,5.884603174603175,62,57.0,61.0,27,55.0
2022,2,B77W,543,541,74,383,161.0,2761.809963099631,1.9488773062730629,8.370038888888889,530,302.0,423.0,301,472.0
2022,2,B788,31,31,0,31,0.0,2771.967741935484,1.0032419354838709,7.835870967741935,26,14.0,19.0,0,31.0
2022,3,A359,485,460,65,469,476.0,2275.59587628866,1.83931819028967,6.895177882895328,472,451.0,478.0,205,0.0
2022,3,B77E,108,108,10,106,29.0,2819.0555555555557,2.0561055555555554,7.255314814814814,108,91.0,103.0,72,97.0
2022,3,B77W,640,638,80,435,157.0,2742.841692789969,2.2968460947654066,8.71838040421179,625,313.0,508.0,394,597.0
2022,3,B788,113,113,1,111,2.0,2906.7433628318586,1.3681580210931876,8.907391878016579,95,76.0,69.0,3,111.0
2022,3,B789,4,4,0,3,0.0,2651.5,2.98,10.866833333333332,4,3.0,1.0,0,3.0
2022,4,A359,570,543,149,555,558.0,2450.743859649123,2.400614429402915,7.0964006775778525,552,543.0,560.0,207,0.0
2022,4,B777,9,7,1,4,3.0,2685.777777777778,4.730944444444444,8.627166666666666,8,4.0,8.0,6,9.0
2022,4,B77E,85,85,9,83,16.0,2959.75,2.0787666666666667,6.032641176470588,85,65.0,81.0,59,72.0
2022,4,B77W,676,665,104,442,180.0,2733.874074074074,2.0324614814814814,9.027294642857143,652,309.0,568.0,362,642.0
2022,4,B788,271,271,2,267,3.0,2835.841328413284,1.5906509777731117,8.767113968569063,261,161.0,170.0,27,250.0
2022,4,B789,20,20,0,19,1.0,2902.9,0.6925859468886685,10.74504718273166,18,9.0,11.0,1,19.0
2022,5,A359,616,609,143,603,590.0,2518.7597402597403,2.9299961208783247,7.0944315274500624,590,581.0,600.0,240,0.0
2022,5,B777,7,6,1,2,2.0,2870.8571428571427,4.284642857142857,11.030833333333334,5,1.0,6.0,2,6.0
2022,5,B77E,108,100,18,106,34.0,2818.296296296296,2.202398148148148,8.519055555555555,106,75.0,101.0,74,102.0
2022,5,B77W,646,643,93,433,146.0,2733.8992248062013,2.021938503991537,9.074471040703738,609,267.0,533.0,378,596.0
2022,5,B788,126,126,0,125,1.0,2888.1190476190477,1.5444126136478127,8.93734715889051,119,71.0,71.0,2,124.0
2022,5,B789,34,34,0,33,1.0,3181.0588235294117,1.0251490168246056,10.053565565399452,33,11.0,11.0,1,33.0
2022,6,A359,121,118,32,120,119.0,2509.619834710744,2.330560339360856,7.197962132652393,114,116.0,118.0,54,0.0
2022,6,B77E,2,2,1,2,2.0,3074.0,,,2,2.0,0.0,1,1.0
2022,6,B77W,125,121,15,86,24.0,2609.64,2.20852,9.260879032258064,121,53.0,100.0,69,122.0
2022,6,B789,6,6,0,5,0.0,3115.0,0.6884166666666668,9.501833333333332,6,1.0,4.0,0,6.0
