,flight_date,flight_number,aircraft_registration,dep
0,2021/12/31,THA927,HS-TKX,HKT
1,2021/12/31,THA939,HS-THF,HKT
2,2021/12/31,THA953,HS-THK,HKT
3,2022/01/01,THA303,HS-THJ,BKK
4,2022/01/01,THA304,HS-THJ,RGN
5,2022/01/01,THA403,HS-TKN,BKK
6,2022/01/01,THA404,HS-TKN,SIN
7,2022/01/01,THA476,HS-TKY,SYD
8,2022/01/01,THA477,HS-TKX,BKK
9,2022/01/01,THA477,HS-TKX,HKT
10,2022/01/01,THA478,HS-TKX,HKT
11,2022/01/01,THA478,HS-TKX,SYD
12,2022/01/01,THA560,HS-THF,BKK
13,2022/01/01,THA561,HS-THF,HAN
14,2022/01/01,THA600,HS-TKK,BKK
15,2022/01/01,THA601,HS-TKK,HKG
16,2022/01/01,THA6221,HS-TQC,BKK
17,2022/01/01,THA623,HS-TQC,KIX
18,2022/01/01,THA624,HS-TKQ,BKK
19,2022/01/01,THA625,HS-TKQ,MNL
20,2022/01/01,THA642,HS-TJV,BKK
21,2022/01/01,THA643,HS-TJS,NRT
22,2022/01/01,THA644,HS-THF,BKK
23,2022/01/01,THA656,HS-THN,BKK
24,2022/01/01,THA657,HS-THN,ICN
25,2022/01/01,THA910,HS-TKY,BKK
26,2022/01/01,THA919,HS-THL,HKT
27,2022/01/01,THA919,HS-THL,LHR
28,2022/01/01,THA921,HS-TKZ,FRA
29,2022/01/01,THA924,HS-TKO,BKK
30,2022/01/01,THA926,HS-TKW,HKT
31,2022/01/01,THA926,HS-TKW,BKK
32,2022/01/01,THA930,HS-THC,BKK
33,2022/01/01,THA935,HS-THE,BRU
34,2022/01/01,THA950,HS-THK,BKK
35,2022/01/01,THA963,HS-THD,HKT
36,2022/01/01,THA963,HS-THD,ARN
37,2022/01/01,THA973,HS-THM,HKT
38,2022/01/01,THA973,HS-THM,ZRH
39,2022/01/02,THA475,HS-TKV,BKK
40,2022/01/02,THA491,HS-THN,BKK
41,2022/01/02,THA600,HS-THJ,BKK
42,2022/01/02,THA601,HS-THJ,HKG
43,2022/01/02,THA6221,HS-TKK,BKK
44,2022/01/02,THA623,HS-TQC,KIX
45,2022/01/02,THA642,HS-TKN,BKK
46,2022/01/02,THA643,HS-TJV,NRT
47,2022/01/02,THA645,HS-THF,NGO
48,2022/01/02,THA656,HS-THE,BKK
49,2022/01/02,THA657,HS-THN,ICN
50,2022/01/02,THA678,HS-TKQ,BKK
51,2022/01/02,THA679,HS-TKQ,CAN
52,2022/01/02,THA911,HS-TKY,LHR
53,2022/01/02,THA918,HS-TKX,BKK
54,2022/01/02,THA918,HS-TKX,HKT
55,2022/01/02,THA920,HS-TKZ,BKK
