,aircraft_registration,arr,dep,flight_date,flight_number,actual_block_fuel,actual_burn,actual_flt_time,actual_fob,actual_landing_date,actual_landing_fuel,actual_landing_time,actual_off_block_date,actual_off_block_time,actual_on_block_date,actual_on_block_fuel,actual_on_block_time,actual_takeoff_date,actual_takeoff_fuel,actual_takeoff_time,actual_taxi_fuel,actual_taxi_in_fuel,actual_taxi_in_time,actual_taxi_out_time,actual_zfw,aircraft_type,company_fuel,dev_zfw,esad,eta_date,eta_time,etd_date,etd_time,excess_fuel,extra_fuel,plan_block_fuel,plan_burn,plan_flt_time,plan_landing_date,plan_landing_fuel,plan_landing_time,plan_off_block_date,plan_off_block_time,plan_on_block_date,plan_on_block_fuel,plan_on_block_time,plan_takeoff_date,plan_takeoff_time,plan_taxi_fuel,plan_taxi_in_fuel,plan_taxi_in_time,plan_taxi_out_time,plan_zfw,sta_date,sta_time,std_date,std_time
0,HS-TKN,DEL,BKK,2021/12/31,THA315,39300,27400,3:49:00,39200,2021/12/31,12200,17:06:00,2021/12/31,12:54:00,2021/12/31,11800,17:16:00,2021/12/31,38800,13:17:00,400,400,0:10:00,0:23:00,205018,B77W,1000,597,1765,2021/12/31,17:30:00,2021/12/31,13:10:00,755,5,39195,27750,3:50:00,2021/12/31,11445,17:00:00,2021/12/31,13:00:00,2021/12/31,11445,17:00:00,2021/12/31,13:10:00,600,0,0:00:00,0:10:00,204421,2021/12/31,17:30:00,2021/12/31,13:00:00
2,HS-TKN,BKK,DEL,2021/12/31,THA316,28400,21600,3:25:00,28500,2021/12/31,7300,22:34:00,2021/12/31,18:49:00,2021/12/31,6900,22:39:00,2021/12/31,27900,19:09:00,600,400,0:05:00,0:20:00,181375,B77W,0,-4546,1586,2021/12/31,22:45:00,2021/12/31,19:12:00,1951,-66,28566,23217,3:31:00,2021/12/31,5349,22:43:00,2021/12/31,18:50:00,2021/12/31,5349,22:43:00,2021/12/31,19:12:00,726,0,0:00:00,0:22:00,185921,2021/12/31,22:45:00,2021/12/31,18:50:00
4,HS-TKQ,DEL,BKK,2021/12/31,THA323,44000,29900,3:49:00,44000,2021/12/31,14600,06:16:00,2021/12/31,02:11:00,2021/12/31,14100,06:29:00,2021/12/31,43300,02:27:00,700,500,0:13:00,0:16:00,215515,B77W,1071,-2385,1744,2021/12/31,04:25:00,2021/12/31,00:10:00,-72,-267,44267,29595,3:50:00,2021/12/31,14672,04:00:00,2021/12/31,00:00:00,2021/12/31,14672,04:00:00,2021/12/31,00:10:00,600,0,0:00:00,0:10:00,217900,2021/12/31,04:25:00,2021/12/31,00:00:00
5,HS-TKQ,BKK,DEL,2021/12/31,THA324,27700,21800,3:30:00,27900,2021/12/31,6600,11:18:00,2021/12/31,07:32:00,2021/12/31,6100,11:24:00,2021/12/31,27400,07:48:00,500,500,0:06:00,0:16:00,170367,B77W,0,-1533,1628,2021/12/31,09:40:00,2021/12/31,06:02:00,1359,-72,27772,22531,3:35:00,2021/12/31,5241,09:37:00,2021/12/31,05:40:00,2021/12/31,5241,09:37:00,2021/12/31,06:02:00,726,0,0:00:00,0:22:00,171900,2021/12/31,09:40:00,2021/12/31,05:40:00
6,HS-TJV,SIN,BKK,2021/12/31,THA403,18400,11800,2:11:00,18700,2021/12/31,7000,03:24:00,2021/12/31,00:54:00,2021/12/31,6900,03:27:00,2021/12/31,18400,01:13:00,300,100,0:03:00,0:19:00,152292,B772,0,-2343,897,2021/12/31,03:15:00,2021/12/31,01:10:00,1098,-71,18471,12569,2:02:00,2021/12/31,5902,03:12:00,2021/12/31,01:00:00,2021/12/31,5902,03:12:00,2021/12/31,01:10:00,400,0,0:00:00,0:10:00,154635,2021/12/31,03:15:00,2021/12/31,01:00:00
7,HS-TJV,BKK,SIN,2021/12/31,THA404,16900,11100,1:54:00,16800,2021/12/31,5700,06:19:00,2021/12/31,04:11:00,2021/12/31,5700,06:23:00,2021/12/31,16600,04:25:00,200,Invalid,0:04:00,0:14:00,157860,B772,0,-5275,811,2021/12/31,06:45:00,2021/12/31,04:40:00,696,-267,17167,12163,1:53:00,2021/12/31,5004,06:33:00,2021/12/31,04:25:00,2021/12/31,5004,06:33:00,2021/12/31,04:40:00,405,0,0:00:00,0:15:00,163135,2021/12/31,06:45:00,2021/12/31,04:25:00
8,HS-THC,CGK,BKK,2021/12/31,THA433,34700,16080,2:57:00,34650,2021/12/31,19010,04:29:00,2021/12/31,01:13:00,2021/12/31,18570,04:37:00,2021/12/31,34270,01:32:00,380,440,0:08:00,0:19:00,148339,A359,0,24,1332,2021/12/31,04:55:00,2021/12/31,01:30:00,37,21,34679,15706,2:54:00,2021/12/31,18973,04:24:00,2021/12/31,01:20:00,2021/12/31,18973,04:24:00,2021/12/31,01:30:00,400,0,0:00:00,0:10:00,148315,2021/12/31,04:55:00,2021/12/31,01:20:00
10,HS-THC,BKK,CGK,2021/12/31,THA434,18900,14010,2:50:00,18840,2021/12/31,4940,08:42:00,2021/12/31,05:39:00,2021/12/31,4830,08:47:00,2021/12/31,18500,05:52:00,340,110,0:05:00,0:13:00,148290,A359,0,-91,1327,2021/12/31,09:35:00,2021/12/31,06:25:00,946,-8,18848,14854,2:55:00,2021/12/31,3994,09:20:00,2021/12/31,06:05:00,2021/12/31,3994,09:20:00,2021/12/31,06:25:00,500,0,0:00:00,0:20:00,148381,2021/12/31,09:35:00,2021/12/31,06:05:00
12,HS-TKY,SYD,BKK,2021/12/31,THA475,72200,62600,8:33:00,72100,2021/12/31,9800,10:34:00,2021/12/31,01:46:00,2021/12/31,9500,10:39:00,2021/12/31,71500,02:01:00,600,300,0:05:00,0:15:00,196664,B77W,0,-569,4145,2021/12/31,10:20:00,2021/12/31,01:10:00,1241,767,71333,62774,8:40:00,2021/12/31,8559,09:50:00,2021/12/31,01:00:00,2021/12/31,8559,09:50:00,2021/12/31,01:10:00,600,0,0:00:00,0:10:00,197233,2021/12/31,10:20:00,2021/12/31,01:00:00
14,HS-TKV,BKK,HKT,2021/12/30,THA478,13500,Invalid,1:05:00,13500,2021/12/31,6400,09:17:00,2021/12/31,08:02:00,2021/12/31,6200,09:23:00,2021/12/31,Invalid,08:12:00,Invalid,200,0:06:00,0:10:00,186263,B77W,0,-1737,446,2021/12/31,10:40:00,2021/12/31,09:20:00,976,-564,14064,8640,1:06:00,2021/12/31,5424,10:26:00,2021/12/31,09:10:00,2021/12/31,5424,10:26:00,2021/12/31,09:20:00,600,0,0:00:00,0:10:00,188000,2021/12/31,10:40:00,2021/12/31,09:10:00
