,aircraft_registration,arr,dep,flight_date,flight_number,actual_block_fuel,actual_burn,actual_flt_time,actual_fob,actual_landing_date,actual_landing_fuel,actual_landing_time,actual_off_block_date,actual_off_block_time,actual_on_block_date,actual_on_block_fuel,actual_on_block_time,actual_takeoff_date,actual_takeoff_fuel,actual_takeoff_time,actual_taxi_fuel,actual_taxi_in_fuel,actual_taxi_in_time,actual_taxi_out_time,actual_zfw,aircraft_type,company_fuel,dev_zfw,esad,eta_date,eta_time,etd_date,etd_time,excess_fuel,extra_fuel,plan_block_fuel,plan_burn,plan_flt_time,plan_landing_date,plan_landing_fuel,plan_landing_time,plan_off_block_date,plan_off_block_time,plan_on_block_date,plan_on_block_fuel,plan_on_block_time,plan_takeoff_date,plan_takeoff_time,plan_taxi_fuel,plan_taxi_in_fuel,plan_taxi_in_time,plan_taxi_out_time,plan_zfw,sta_date,sta_time,std_date,std_time
115,HS-TQC,BKK,HKT,2022/05/28,THA919,10200,Invalid,1:09:00,10200,2022/05/29,Invalid,10:25:00,2022/05/29,09:01:00,2022/05/29,Invalid,10:32:00,2022/05/29,Invalid,09:16:00,Invalid,Invalid,0:07:00,0:15:00,129120,B788,0,-80,486,2022/05/29,11:05:00,2022/05/29,09:45:00,-4210,-213,10413,6203,1:11:00,2022/05/29,4210,10:56:00,2022/05/29,09:35:00,2022/05/29,4210,10:56:00,2022/05/29,09:45:00,300,0,0:00:00,0:10:00,129200,2022/05/29,11:05:00,2022/05/29,09:35:00
184,HS-TKV,BKK,HKT,2022/05/27,THA927,14900,Invalid,1:04:00,14900,2022/05/28,8200,07:47:00,2022/05/28,06:32:00,2022/05/28,7800,07:54:00,2022/05/28,Invalid,06:43:00,Invalid,400,0:07:00,0:11:00,190085,B77W,0,0,482,2022/05/28,08:55:00,2022/05/28,07:35:00,1790,-630,15530,9120,1:10:00,2022/05/28,6410,08:45:00,2022/05/28,07:25:00,2022/05/28,6410,08:45:00,2022/05/28,07:35:00,600,0,0:00:00,0:10:00,190085,2022/05/28,08:55:00,2022/05/28,07:25:00
185,HS-TKP,SIN,BKK,2022/05/28,THA403,21000,13500,1:52:00,21100,2022/05/28,7700,03:20:00,2022/05/28,01:10:00,2022/05/28,7600,03:26:00,2022/05/28,20400,01:28:00,700,100,0:06:00,0:18:00,205413,B77W,0,-3091,798,2022/05/28,03:15:00,2022/05/28,01:10:00,598,-11,21111,14009,1:50:00,2022/05/28,7102,03:00:00,2022/05/28,01:00:00,2022/05/28,7102,03:00:00,2022/05/28,01:10:00,600,0,0:00:00,0:10:00,208504,2022/05/28,03:15:00,2022/05/28,01:00:00
186,HS-TKY,BKK,SYD,2022/05/28,THA476,80100,70600,8:49:00,79900,2022/05/28,9600,09:22:00,2022/05/28,00:12:00,2022/05/28,9300,09:29:00,2022/05/28,79400,00:33:00,500,300,0:07:00,0:21:00,221076,B77W,0,76,4268,2022/05/28,09:20:00,2022/05/28,00:16:00,1848,327,79573,71821,8:57:00,2022/05/28,7752,09:13:00,2022/05/28,00:00:00,2022/05/28,7752,09:13:00,2022/05/28,00:16:00,600,0,0:00:00,0:16:00,221000,2022/05/28,09:20:00,2022/05/28,00:00:00
187,HS-TKO,BKK,HAN,2022/05/28,THA561,18300,10600,1:22:00,18300,2022/05/28,8200,05:25:00,2022/05/28,03:50:00,2022/05/28,7700,05:33:00,2022/05/28,17700,04:03:00,600,500,0:08:00,0:13:00,186930,B77W,0,-1070,639,2022/05/28,05:25:00,2022/05/28,03:45:00,1838,739,17561,11199,1:30:00,2022/05/28,6362,05:15:00,2022/05/28,03:35:00,2022/05/28,6362,05:15:00,2022/05/28,03:45:00,600,0,0:00:00,0:10:00,188000,2022/05/28,05:25:00,2022/05/28,03:35:00
188,HS-TKP,BKK,SIN,2022/05/28,THA404,22400,15000,1:55:00,22600,2022/05/28,8000,06:41:00,2022/05/28,04:27:00,2022/05/28,7600,06:50:00,2022/05/28,22100,04:46:00,500,400,0:09:00,0:19:00,217574,B77W,0,-426,867,2022/05/28,06:45:00,2022/05/28,04:41:00,1159,73,22327,15486,1:59:00,2022/05/28,6841,06:40:00,2022/05/28,04:25:00,2022/05/28,6841,06:40:00,2022/05/28,04:41:00,600,0,0:00:00,0:16:00,218000,2022/05/28,06:45:00,2022/05/28,04:25:00
189,HS-TKO,HAN,BKK,2022/05/28,THA560,29000,10300,1:30:00,28900,2022/05/28,18800,02:28:00,2022/05/28,00:48:00,2022/05/28,18600,02:33:00,2022/05/28,28600,00:58:00,300,200,0:05:00,0:10:00,177399,B77W,0,-3601,645,2022/05/28,02:35:00,2022/05/28,00:55:00,939,-517,29517,11656,1:32:00,2022/05/28,17861,02:27:00,2022/05/28,00:45:00,2022/05/28,17861,02:27:00,2022/05/28,00:55:00,600,0,0:00:00,0:10:00,181000,2022/05/28,02:35:00,2022/05/28,00:45:00
190,HS-THK,BKK,KUL,2022/05/28,THA416,15300,Invalid,1:45:00,15300,2022/05/28,5270,07:31:00,2022/05/28,05:31:00,2022/05/28,5150,07:39:00,2022/05/28,14760,05:46:00,Invalid,120,0:08:00,0:15:00,172871,A359,0,-3129,755,2022/05/28,07:30:00,2022/05/28,05:33:00,390,-76,15376,10496,1:43:00,2022/05/28,4880,07:16:00,2022/05/28,05:20:00,2022/05/28,4880,07:16:00,2022/05/28,05:33:00,400,0,0:00:00,0:13:00,176000,2022/05/28,07:30:00,2022/05/28,05:20:00
191,HS-THG,RGN,BKK,2022/05/28,THA303,17100,6000,1:00:00,17010,2022/05/28,10920,02:14:00,2022/05/28,01:03:00,2022/05/28,11010,02:18:00,2022/05/28,16580,01:14:00,430,Invalid,0:04:00,0:11:00,155929,A359,0,-1615,389,2022/05/28,02:15:00,2022/05/28,01:10:00,58,-44,17054,6192,0:57:00,2022/05/28,10862,02:07:00,2022/05/28,01:00:00,2022/05/28,10862,02:07:00,2022/05/28,01:10:00,400,0,0:00:00,0:10:00,157544,2022/05/28,02:15:00,2022/05/28,01:00:00
192,HS-THM,BKK,DAC,2022/05/28,THA322,19525,12440,2:07:00,19480,2022/05/28,7270,10:10:00,2022/05/28,07:48:00,2022/05/28,7040,10:20:00,2022/05/28,18960,08:03:00,520,230,0:10:00,0:15:00,176525,A359,0,3025,907,2022/05/28,10:00:00,2022/05/28,07:56:00,2451,2413,17067,12248,2:02:00,2022/05/28,4819,09:58:00,2022/05/28,07:35:00,2022/05/28,4819,09:58:00,2022/05/28,07:56:00,525,0,0:00:00,0:21:00,173500,2022/05/28,10:00:00,2022/05/28,07:35:00
193,HS-THK,KUL,BKK,2022/05/28,THA415,17800,10330,1:42:00,17830,2022/05/28,7790,03:57:00,2022/05/28,02:00:00,2022/05/28,7500,04:14:00,2022/05/28,17350,02:15:00,480,290,0:17:00,0:15:00,173850,A359,0,450,761,2022/05/28,04:15:00,2022/05/28,02:15:00,667,31,17769,10646,1:44:00,2022/05/28,7123,03:59:00,2022/05/28,02:05:00,2022/05/28,7123,03:59:00,2022/05/28,02:15:00,400,0,0:00:00,0:10:00,173400,2022/05/28,04:15:00,2022/05/28,02:05:00
194,HS-TJV,DPS,BKK,2022/05/28,THA431,57500,25700,3:44:00,57700,2022/05/28,32600,06:36:00,2022/05/28,02:35:01,2022/05/28,32000,06:39:00,2022/05/28,57000,02:52:00,700,600,0:03:00,0:16:59,171021,B772,0,521,1693,2022/05/28,06:55:00,2022/05/28,02:45:00,1438,-27,57527,26365,3:41:00,2022/05/28,31162,06:26:00,2022/05/28,02:35:00,2022/05/28,31162,06:26:00,2022/05/28,02:45:00,400,0,0:00:00,0:10:00,170500,2022/05/28,06:55:00,2022/05/28,02:35:00
195,HS-THG,BKK,RGN,2022/05/28,THA304,10800,5680,1:00:00,10810,2022/05/28,5210,04:26:00,2022/05/28,03:14:00,2022/05/28,5130,04:31:00,2022/05/28,10490,03:26:00,320,80,0:05:00,0:12:00,156591,A359,0,-3949,398,2022/05/28,04:45:00,2022/05/28,03:36:00,988,238,10562,6340,1:00:00,2022/05/28,4222,04:36:00,2022/05/28,03:20:00,2022/05/28,4222,04:36:00,2022/05/28,03:36:00,400,0,0:00:00,0:16:00,160540,2022/05/28,04:45:00,2022/05/28,03:20:00
