,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,flight_date,flight_number,landing_time,flight_time,onblock_time,onblock_fuel,block_time,pf,pm,pc1,pc2
0,VTBS,EGLL,HS-TQF,2022-06-01T00:00:00.000Z,THA916,1800,1156,1808,7600.0,1215,44212,29448,43973,
1,WMKK,VTBS,HS-TWA,2022-06-02T00:00:00.000Z,THA416,0725,0138,0733,5700.0,0159,30946,42616,,
2,VTBS,WMKK,HS-TWA,2022-06-02T00:00:00.000Z,THA415,0419,0146,0425,7100.0,0211,42616,30946,,
3,VOBL,VTBS,HS-THL,2022-05-30T00:00:00.000Z,THA326,2231,0319,2239,5800.0,0340,44401,29437,42779,
4,VTBS,VOBL,HS-THL,2022-05-30T00:00:00.000Z,THA325,1739,0303,1748,7100.0,0322,29437,44401,42779,
5,VTBS,RPLL,HS-TKO,2022-05-31T00:00:00.000Z,THA624,1059,0306,1105,10500.0,0334,44259,33822,,
6,RPLL,VTBS,HS-TKO,2022-05-31T00:00:00.000Z,THA625,1520,0237,1530,7800.0,0315,33822,44259,,
7,OPKC,VTBS,HS-TQF,2022-05-31T00:00:00.000Z,THA342,2336,0434,2347,6400.0,0455,29436,44796,44159,
8,VTBS,VGHS,HS-TQA,2022-06-02T00:00:00.000Z,THA321,0542,0203,0550,18500.0,0222,44796,36768,,
9,VYYY,VTBS,HS-THH,2022-06-02T00:00:00.000Z,THA304,0419,0100,0430,4700.0,0127,44347,37211,,
10,VTBS,VYYY,HS-THH,2022-06-02T00:00:00.000Z,THA303,0215,0057,0221,10400.0,0114,37211,44347,,
11,EDDM,VTBS,HS-THK,2022-05-31T00:00:00.000Z,THA925,2308,1012,2316,6400.0,1034,44195,32112,42627,
12,YMML,VTBS,HS-THF,2022-06-01T00:00:00.000Z,THA466,0925,0852,0933,10500.0,0921,44221,27476,42646,
13,OPIS,VTBS,HS-THL,2022-06-01T00:00:00.000Z,THA350,2304,0426,2313,7100.0,0453,32092,44253,44350,
14,VTBS,RJGG,HS-THJ,2022-06-01T00:00:00.000Z,THA644,2240,0519,2246,7100.0,0539,36151,40809,,
15,VTBS,VOMM,HS-TQA,2022-05-31T00:00:00.000Z,THA337,1808,0241,1814,7000.0,0301,24868,42600,42593,
16,VABB,VTBS,HS-TKL,2022-06-01T00:00:00.000Z,THA318,2208,0353,2217,7400.0,0419,26948,43413,43832,
17,VTBS,OPIS,HS-THL,2022-06-01T00:00:00.000Z,THA349,1650,0420,1700,30400.0,0445,44350,32092,44253,_____
18,VTSP,VTBS,HS-TKY,2022-06-01T00:00:00.000Z,THA478,1212,0111,1220,7200.0,0132,37226,45123,,
19,VTBS,VOBL,HS-THM,2022-06-01T00:00:00.000Z,THA325,1750,0302,1758,6800.0,0329,28368,44305,26461,
20,VOBL,VTBS,HS-THM,2022-06-01T00:00:00.000Z,THA326,2232,0322,2240,5900.0,0347,44305,28368,26461,
21,LFPG,VTBS,HS-TTC,2022-06-01T00:00:00.000Z,THA931,2256,1057,2304,12800.0,1118,23416,43398,26958,42595
22,VTBS,VOMM,HS-TQA,2022-06-01T00:00:00.000Z,THA337,1811,0241,1816,6800.0,0304,37221,44152,42653,
23,VTBS,RJGG,HS-THM,2022-05-31T00:00:00.000Z,THA644,2246,0520,2252,6500.0,0537,44190,38345,,
24,VTSP,YSSY,HS-TKY,2022-05-31T00:00:00.000Z,THA477,2044,0756,2051,9900.0,0820,43502,40519,43955,
25,VTBS,VTSP,HS-TKY,2022-05-31T00:00:00.000Z,THA477,1106,0059,1110,39100.0,0115,40519,43955,43502,
26,VTBS,EDDF,HS-TKX,2022-06-01T00:00:00.000Z,THA926,1647,1110,1655,8800.0,1133,43480,33818,42597,
27,LSZH,VTBS,HS-TQD,2022-05-28T00:00:00.000Z,THA971,2216,1027,2224,6500.0,1050,43948,39692,42616,
28,LFPG,VTBS,HS-TWA,2022-05-29T00:00:00.000Z,THA931,2310,1047,2318,6900.0,1113,41095,37212,43954,
29,ZGGG,VTBS,HS-THB,2022-06-01T00:00:00.000Z,THA679,1608,0221,1620,7200.0,0246,35309,44186,,
30,EDDF,VTBS,HS-TKZ,2022-05-31T00:00:00.000Z,THA921,2340,1018,2346,8800.0,1040,36748,43419,43319,
31,VTBS,WSSS,HS-THH,2022-06-01T00:00:00.000Z,THA409,1136,0156,1142,5000.0,0216,42256,30936,,
32,WSSS,VTBS,HS-THH,2022-06-01T00:00:00.000Z,THA410,1511,0151,1518,5100.0,0223,30936,42256,,
33,VTBS,EDDF,HS-TKY,2022-05-29T00:00:00.000Z,THA926,1659,1109,1706,9000.0,1140,43967,33627,43405,
34,OPIS,VTBS,HS-THJ,2022-05-30T00:00:00.000Z,THA350,2257,0415,2305,7100.0,0435,44339,37132,44225,
35,VTBS,VOBL,HS-THH,2022-05-31T00:00:00.000Z,THA325,1735,0258,1743,7200.0,0317,44418,38887,42310,
36,VTBS,EGLL,HS-TQD,2022-05-29T00:00:00.000Z,THA916,1804,1155,1809,,1216,32100,44793,43256,
37,VTBS,VHHH,HS-THJ,2022-06-01T00:00:00.000Z,THA638,0922,0220,0932,5500.0,0247,44338,36733,,
38,VHHH,VTBS,HS-THJ,2022-06-01T00:00:00.000Z,THA639,1311,0216,1319,4700.0,0241,36733,44338,,
39,ZSPD,VTBS,HS-THG,2022-06-01T00:00:00.000Z,THA665,1419,0338,1429,5300.0,0359,44344,37215,43833,
40,RJBB,VTBS,HS-TKO,2022-06-01T00:00:00.000Z,THA623,0845,0517,0858,7100.0,0546,40187,43966,,
41,VTBS,YSSY,HS-TKV,2022-06-01T00:00:00.000Z,THA475,1128,0924,1134,5000.0,0945,43823,37789,44293,
42,OPIS,VTBS,HS-THL,2022-06-01T00:00:00.000Z,THA350,,,,,,,,,
